long;lat;nro_registro;tipo_activ;comuna;manzana;calle_nombre;calle_altura;calle_chapa;direccion_normalizada;ubicacion;nombre_cientifico;ancho_acera;estado_plantera;ubicacion_plantera;nivel_plantera;diametro_altura_pecho;altura_arbol;geometry;index_right;BARRIO;COMUNA
;;62624;Lineal;1;;Córdoba Av.;;;CORDOBA AV.;;Jacaranda mimosifolia;;Ocupada;Regular;A nivel;20.0;6.0;;;;
;;62628;Lineal;1;;Córdoba Av.;;;CORDOBA AV.;;Syagrus romanzoffiana;;Ocupada;Regular;Elevada;32.0;13.0;;;;
;;62631;Lineal;1;;Córdoba Av.;;;CORDOBA AV.;;Ceiba speciosa;;Ocupada;Regular;A nivel;36.0;9.0;;;;
;;63737;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;LD;Tipuana tipu;2;Ocupada;Regular;A nivel;36.0;13.0;;;;
;;63742;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;LD;Tipuana tipu;2;Ocupada;Regular;A nivel;40.0;13.0;;;;
;;63744;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;Exacta;Tipuana tipu;2;Ocupada;Regular;A nivel;49.0;13.0;;;;
;;63754;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;LA;Tipuana tipu;2;Ocupada;Regular;A nivel;0.0;;;;;
;;63760;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;LA;Tipuana tipu;2;Ocupada;Regular;A nivel;0.0;;;;;
;;63763;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;LA;Tipuana tipu;2;Ocupada;Regular;A nivel;0.0;;;;;
;;63769;Lineal;1;;Antártida Argentina Av.;2000.0;2085.0;;Exacta;Tipuana tipu;2;Ocupada;;A nivel;0.0;;;;;
